id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
NB2H,nonaxenic,benzoic,hem,nat,0.1019,1702.24204,20,1298.377102,1356.809606,1239.944597,37.8804262,54.72516922,21.03568319,-35.77165866,28.98807231,-100.5313896
NB2H,nonaxenic,benzoic,hem,lab,0.1019,2761.757809,20,2357.892871,2416.325375,2299.460366,15053.7455,15070.59024,15036.90076,68420.008,68484.76773,68355.24827
NC2,nonaxenic,control,sal,nat,0.0649,672.2449742,20,38.1334604,129.878795,-53.61187416,155.5737478,182.0218112,129.1256844,-15.93108285,85.74867965,-117.6108453
NC2,nonaxenic,control,sal,lab,0.0649,13346.71239,20,12712.60087,12804.34621,12620.85554,33114.4427,33140.89076,33087.99464,103218.8953,103320.5751,103117.2156
NC2F,nonaxenic,control,fat,nat,0.0705,820.7994788,20,237.0571065,321.5148684,152.5993446,257.0172151,281.3644394,232.6699908,6.955217108,100.5582892,-86.64785503
NC2F,nonaxenic,control,fat,lab,0.0705,11345.82724,20,10762.08486,10846.54263,10677.6271,50340.48374,50364.83097,50316.13652,220599.2998,220692.9028,220505.6967
NC2H,nonaxenic,control,hem,nat,0.0912,531.9844885,20,80.73627305,146.0243456,15.44820054,68.86559523,87.68664033,50.04455013,-33.73430095,38.62333706,-106.0919389
NC2H,nonaxenic,control,hem,lab,0.0912,24985.0277,20,24533.77948,24599.06756,24468.49141,154366.3971,154385.2182,154347.5761,333.1544359,405.5120739,260.7967979
NI1A,nonaxenic,indole,sal,nat,0.0588,772.3426625,20,72.44747126,173.7106041,-28.81566161,4.445647338,33.6374724,-24.74617772,18917.07511,19029.30328,18804.84693
NI1A,nonaxenic,indole,sal,lab,0.0588,12879.45662,20,12179.56143,12280.82456,12078.2983,109881.9647,109911.1566,109852.7729,249.2631968,361.4913701,137.0350236
NI1AF,nonaxenic,indole,fat,nat,0.0897,657.3661792,20,198.572007,264.9518533,132.1921607,-12.21358905,6.922189248,-31.34936735,24546.27397,24619.8416,24472.70634
NI1AF,nonaxenic,indole,fat,lab,0.0897,4681.874429,20,4223.080257,4289.460103,4156.700411,153949.0091,153968.1449,153929.8733,779.3054463,852.8730782,705.7378144
NI1AH,nonaxenic,indole,hem,nat,0.1095,452.2864798,20,76.45234974,130.8292649,22.07543455,-11.7088797,3.966730465,-27.38448987,5724.058384,5784.323376,5663.793392
NI1AH,nonaxenic,indole,hem,lab,0.1095,8230.304285,20,7854.470155,7908.847071,7800.09324,970.3723908,986.048001,954.6967807,32847.65414,32907.91913,32787.38914
NS3,nonaxenic,salicylic,sal,nat,0.0739,794.0256367,20,237.140153,317.7121721,156.5681339,6872.689784,6895.916838,6849.46273,58.49488907,147.7914599,-30.80168178
NS3,nonaxenic,salicylic,sal,lab,0.0739,7984.912884,20,7428.027401,7508.59942,7347.455382,828.8325224,852.0595767,805.6054681,22523.48603,22612.7826,22434.18946
NS3AF,nonaxenic,salicylic,fat,nat,0.0489,1397.666106,20,556.0743421,677.8386,434.3100842,6924.276743,6959.37857,6889.174917,136.5560915,271.5053059,1.60687706
NS3AF,nonaxenic,salicylic,fat,lab,0.0489,13955.9699,20,13114.37813,13236.14239,12992.61387,4027.323272,4062.425098,3992.221445,490923.0576,491058.0068,490788.1084
NS3AH,nonaxenic,salicylic,hem,nat,0.0960,399.8824097,20,-28.80339494,33.22027395,-90.82706382,2523.676433,2541.556426,2505.796441,-34.020392,34.7193641,-102.7601481
NS3AH,nonaxenic,salicylic,hem,lab,0.0960,5786.366863,20,5357.681058,5419.704727,5295.657389,112062.5316,112080.4116,112044.6516,93978.1285,94046.86826,93909.38875
AB3,axenic,benzoic,sal,nat,0.044,2332.87153,14,1397.557047,1532.881415,1262.232678,9.398427335,48.40932082,-29.61246615,-27.35336181,122.6242879,-177.3310115
AB3,axenic,benzoic,sal,lab,0.044,3919.502743,14,2984.18826,3119.512628,2848.863891,106225.7128,106264.7237,106186.7019,99367.77065,99517.7483,99217.793
AB3F,axenic,benzoic,fat,nat,0.0416,2591.903079,14,1602.628145,1745.759689,1459.496602,14.18907102,55.45059298,-27.07245093,57.79438672,216.4245931,-100.8358197
AB3F,axenic,benzoic,fat,lab,0.0416,10679.7504,14,9690.475462,9833.607005,9547.343918,382529.8017,382571.0632,382488.5402,790695.3632,790853.9934,790536.733
AB3H,axenic,benzoic,hem,nat,0.1006,2535.226881,14,2126.143011,2185.330608,2066.955415,-4.048939162,13.01347946,-21.11135778,-40.1862917,25.41029464,-105.782878
AB3H,axenic,benzoic,hem,lab,0.1006,6901.22206,14,6492.138191,6551.325788,6432.950594,84575.63543,84592.69785,84558.57301,243208.0284,243273.625,243142.4318
AC3,axenic,control,sal,nat,0.0693,577.2783513,20,-16.57211398,69.34811997,-102.4923479,-2.082530017,22.68629124,-26.85135128,-69.66978252,25.55412203,-164.8936871
AC3,axenic,control,sal,lab,0.0693,19433.05951,20,18839.20904,18925.12927,18753.28881,152632.6896,152657.4584,152607.9208,455747.4989,455842.7228,455652.275
AC3F,axenic,control,fat,nat,0.0418,1226.306035,20,241.7644745,384.2111782,99.31777086,-4.996964908,36.0671335,-46.06106331,-105.8820519,51.98915824,-263.7532621
AC3F,axenic,control,fat,lab,0.0418,9060.551573,20,8076.010012,8218.456716,7933.563308,222273.7718,222314.8359,222232.7077,759719.5329,759877.4041,759561.6617
AC3H,axenic,control,hem,nat,0.1086,461.2514584,20,82.30268086,137.1302335,27.47512825,-14.17299387,1.632524674,-29.97851241,-44.76601591,15.99840938,-105.5304412
AC3H,axenic,control,hem,lab,0.1086,17579.89916,20,17200.95038,17255.77793,17146.12283,70412.89483,70428.70035,70397.08931,1393.312574,1454.076999,1332.548149
AI3,axenic,indole,sal,nat,0.0645,559.7237328,20,-78.32025551,13.99404236,-170.6345534,43.9842629,70.59634528,17.37218053,4947.844213,5050.154548,4845.533879
AI3,axenic,indole,sal,lab,0.0645,44916.78093,20,44278.73694,44371.05124,44186.42264,239776.3295,239802.9415,239749.7174,7377.074925,7479.38526,7274.764591
AI3F,axenic,indole,fat,nat,0.063,1838.460906,20,1185.225394,1279.737651,1090.713137,422.2433171,449.4890205,394.9976137,6907.9719,7012.718195,6803.225605
AI3F,axenic,indole,fat,lab,0.063,1764.006946,20,1110.771435,1205.283692,1016.259177,13186.5054,13213.7511,13159.2597,347.2352673,451.9815623,242.4889722
AI3H,axenic,indole,hem,nat,0.1022,483.3933198,20,80.71389466,138.9748752,22.45291411,-2.467131156,14.32816545,-19.26242776,2260.057691,2324.627324,2195.488057
AI3H,axenic,indole,hem,lab,0.1022,5279.530941,20,4876.851516,4935.112497,4818.590535,424.1079751,440.9032717,407.3126785,71756.9703,71821.53993,71692.40066
AS3,axenic,salicylic,sal,nat,0.0453,884.8828066,15,-23.59042179,107.8504659,-155.0313095,13793.99581,13831.88718,13756.10443,-5.804189306,139.869466,-151.4778446
AS3,axenic,salicylic,sal,lab,0.0453,12029.28309,15,11120.80986,11252.25075,10989.36897,827.9590747,865.8504503,790.0676992,149480.1568,149625.8304,149334.4831
AS3F,axenic,salicylic,fat,nat,0.0504,1128.214212,15,311.669822,429.8101437,193.5295003,13243.72188,13277.77901,13209.66475,-29.60156831,101.3313005,-160.5344371
AS3F,axenic,salicylic,fat,lab,0.0504,19911.83821,15,19095.29382,19213.43414,18977.1535,2107.070812,2141.127942,2073.013683,246447.1435,246578.0764,246316.2106
AS3H,axenic,salicylic,hem,nat,0.0993,548.2147198,15,133.7752712,193.7377306,73.81281188,4548.531682,4565.817476,4531.245888,-19.86770598,46.58764735,-86.32305931
AS3H,axenic,salicylic,hem,lab,0.0993,15546.46111,15,15132.02166,15191.98412,15072.0592,88550.97227,88568.25806,88533.68648,68739.95436,68806.40972,68673.49901
B3,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B3,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B3F,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
